timestamp,openPrice,highPrice,lowPrice,closePrice
2026-01-19 13:00:00,"{'bid': 4660.77, 'ask': 4661.07}","{'bid': 4666.25, 'ask': 4666.55}","{'bid': 4660.13, 'ask': 4660.43}","{'bid': 4665.72, 'ask': 4666.02}"
2026-01-19 13:15:00,"{'bid': 4665.83, 'ask': 4666.13}","{'bid': 4672.03, 'ask': 4672.33}","{'bid': 4665.71, 'ask': 4666.01}","{'bid': 4670.85, 'ask': 4671.15}"
2026-01-19 13:30:00,"{'bid': 4670.88, 'ask': 4671.18}","{'bid': 4673.67, 'ask': 4673.97}","{'bid': 4669.88, 'ask': 4670.18}","{'bid': 4671.59, 'ask': 4671.89}"
2026-01-19 13:45:00,"{'bid': 4671.57, 'ask': 4671.87}","{'bid': 4672.8, 'ask': 4673.1}","{'bid': 4668.12, 'ask': 4668.42}","{'bid': 4671.9, 'ask': 4672.2}"
2026-01-19 14:00:00,"{'bid': 4671.92, 'ask': 4672.22}","{'bid': 4673.55, 'ask': 4673.85}","{'bid': 4668.27, 'ask': 4668.57}","{'bid': 4670.17, 'ask': 4670.47}"
2026-01-19 14:15:00,"{'bid': 4670.18, 'ask': 4670.48}","{'bid': 4672.05, 'ask': 4672.35}","{'bid': 4668.57, 'ask': 4668.87}","{'bid': 4671.7, 'ask': 4672.0}"
2026-01-19 14:30:00,"{'bid': 4671.68, 'ask': 4671.98}","{'bid': 4673.65, 'ask': 4673.95}","{'bid': 4666.45, 'ask': 4666.75}","{'bid': 4668.4, 'ask': 4668.7}"
2026-01-19 14:45:00,"{'bid': 4668.32, 'ask': 4668.62}","{'bid': 4669.38, 'ask': 4669.68}","{'bid': 4664.42, 'ask': 4664.72}","{'bid': 4666.08, 'ask': 4666.38}"
2026-01-19 15:00:00,"{'bid': 4666.12, 'ask': 4666.42}","{'bid': 4666.8, 'ask': 4667.1}","{'bid': 4661.51, 'ask': 4661.81}","{'bid': 4664.93, 'ask': 4665.23}"
2026-01-19 15:15:00,"{'bid': 4664.94, 'ask': 4665.24}","{'bid': 4668.42, 'ask': 4668.72}","{'bid': 4663.33, 'ask': 4663.63}","{'bid': 4667.97, 'ask': 4668.27}"
2026-01-19 15:30:00,"{'bid': 4667.98, 'ask': 4668.28}","{'bid': 4670.28, 'ask': 4670.58}","{'bid': 4663.8, 'ask': 4664.1}","{'bid': 4667.23, 'ask': 4667.53}"
2026-01-19 15:45:00,"{'bid': 4667.19, 'ask': 4667.49}","{'bid': 4668.86, 'ask': 4669.16}","{'bid': 4665.32, 'ask': 4665.62}","{'bid': 4666.53, 'ask': 4666.83}"
